id_ticket,id_unidade,nome_unidade,data_entrada,data_saida,tipo_cliente,forma_pagamento,valor,estado,dia_semana,mes,ano,turno
1,1,Aeroporto Galeão,2023-01-21 04:03:12,2023-01-21 04:59:30.730248,Convênio,PIX,25.593820005455385,RJ,Saturday,1,2023,Manhã
2,1,Aeroporto Galeão,2023-01-01 10:00:48,2023-01-01 11:49:48.818181,Rotativo,PIX,9.08,RJ,Sunday,1,2023,Manhã
3,1,Aeroporto Galeão,2023-01-08 08:07:36,2023-01-08 08:14:46.839134,Convênio,Dinheiro,12.857336358438815,RJ,Sunday,1,2023,Manhã
4,1,Aeroporto Galeão,2023-01-05 03:43:54,2023-01-05 05:50:11.019692,Rotativo,Dinheiro,10.52,RJ,Thursday,1,2023,Manhã
5,1,Aeroporto Galeão,2023-01-22 19:51:22,2023-01-22 23:25:44.292712,Rotativo,Dinheiro,17.86,RJ,Sunday,1,2023,Noite
6,1,Aeroporto Galeão,2023-01-03 21:29:57,2023-01-04 07:12:33.825155,Mensalista,Crédito,200.0,RJ,Tuesday,1,2023,Noite
7,1,Aeroporto Galeão,2023-01-14 01:09:25,2023-01-14 02:38:41.280382,Rotativo,Débito,7.44,RJ,Saturday,1,2023,Manhã
8,1,Aeroporto Galeão,2023-01-01 03:24:40,2023-01-01 04:53:56.556553,Rotativo,Dinheiro,7.44,RJ,Sunday,1,2023,Manhã
9,1,Aeroporto Galeão,2023-01-07 08:28:15,2023-01-07 09:09:42.711686,Rotativo,Crédito,3.46,RJ,Saturday,1,2023,Manhã
10,1,Aeroporto Galeão,2023-01-17 21:55:07,2023-01-17 22:06:30.836655,Mensalista,Dinheiro,200.0,RJ,Tuesday,1,2023,Noite
11,1,Aeroporto Galeão,2023-01-01 20:26:03,2023-01-01 21:52:41.609916,Mensalista,PIX,200.0,RJ,Sunday,1,2023,Noite
12,1,Aeroporto Galeão,2023-01-07 23:39:41,2023-01-08 03:35:33.948422,Mensalista,Débito,200.0,RJ,Saturday,1,2023,Noite
13,1,Aeroporto Galeão,2023-01-23 19:50:26,2023-01-23 19:58:30.300302,Convênio,Dinheiro,21.265764356910786,RJ,Monday,1,2023,Noite
14,1,Aeroporto Galeão,2023-01-14 08:01:33,2023-01-14 08:59:58.035460,Rotativo,Crédito,4.87,RJ,Saturday,1,2023,Manhã
15,1,Aeroporto Galeão,2023-01-15 21:27:16,2023-01-15 23:45:35.805494,Rotativo,PIX,11.53,RJ,Sunday,1,2023,Noite
16,1,Aeroporto Galeão,2023-01-09 00:14:11,2023-01-09 02:07:10.519785,Convênio,PIX,28.186408041575643,RJ,Monday,1,2023,Manhã
17,1,Aeroporto Galeão,2023-01-25 05:48:46,2023-01-25 06:24:42.095993,Mensalista,Crédito,200.0,RJ,Wednesday,1,2023,Manhã
18,1,Aeroporto Galeão,2023-01-23 15:23:12,2023-01-23 16:29:38.325799,Rotativo,Dinheiro,5.54,RJ,Monday,1,2023,Tarde
19,1,Aeroporto Galeão,2023-01-11 10:07:01,2023-01-11 10:31:32.597916,Convênio,Crédito,18.995082667395312,RJ,Wednesday,1,2023,Manhã
20,1,Aeroporto Galeão,2023-01-05 07:50:21,2023-01-05 08:50:40.981265,Convênio,PIX,28.437484700462335,RJ,Thursday,1,2023,Manhã
21,1,Aeroporto Galeão,2023-01-31 12:15:18,2023-01-31 12:26:25.119304,Rotativo,Débito,0.93,RJ,Tuesday,1,2023,Tarde
22,1,Aeroporto Galeão,2023-01-04 03:22:36,2023-01-04 09:52:26.022746,Convênio,Débito,15.426980635477918,RJ,Wednesday,1,2023,Manhã
23,1,Aeroporto Galeão,2023-01-13 03:31:16,2023-01-13 07:03:00.816630,Rotativo,Dinheiro,17.65,RJ,Friday,1,2023,Manhã
24,1,Aeroporto Galeão,2023-01-12 12:31:22,2023-01-12 14:23:27.036269,Rotativo,Débito,9.34,RJ,Thursday,1,2023,Tarde
25,1,Aeroporto Galeão,2023-01-20 09:37:51,2023-01-20 12:52:18.481890,Rotativo,PIX,16.2,RJ,Friday,1,2023,Manhã
26,1,Aeroporto Galeão,2023-01-26 01:34:55,2023-01-26 02:40:59.385245,Rotativo,Dinheiro,5.51,RJ,Thursday,1,2023,Manhã
27,1,Aeroporto Galeão,2023-01-24 16:43:37,2023-01-24 16:44:16.869427,Convênio,Débito,24.226839054973,RJ,Tuesday,1,2023,Tarde
